,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"Anchor.focus()",,"y",,,"y","The power to scroll the whole document is an important authority, we still need a mechanism for deciding when to grant this authority, but for now we shut it off and leave it to the powerbox to decide when to grant it."
,"Anchor.name",,"y",,,"y","multiple anchors with the same name can yield spoofing. Problem is made harder by the fact that anchors are referenced from outside the document, so they act as coordination points for which name mangling is inappropriate. For the moment only allow the powerbox to deal with this. For the shutting off of anchor.name to work, the setInnerHTML filter must also remove anchors."
,,,,,,,
,"Attr.name",,"y",,,,"The Attr object is tamed out of existence. Use Element.get/setAttribute() instead."
,"Attr.ownerElement",,"y",,,,
,"Attr.specified",,"y",,,,
,"Attr.value",,"y",,,,
,,,,,,,
,"Canvas.height","y",,,,,
,"Canvas.width","y",,,,,
,"Canvas.getContext()",,,"only ""2d"" valid",,,"someday ""3d"" is supposed to be valid. But we must reject that value until the 3d library it opens up is tamed."
,"CanvasGradient.addColorStop()","y",,,,,
,"CanvasPattern",,,,,,"No functions or properties"
,"CanvasRenderingContext2D.canvas",,"y",,,,"The canvas embodies read authority on the drawing -- you can send a canvas to drawImage(). This is excess authority for someone granted only the renderingcontext. If you need the canvas, odds are it is easy for you to acquire."
,"CanvasRenderingContext2D.fillStyle",,,"css string color value or a valid object (such as a pattern)",,,
,"CanvasRenderingContext2D.globalAlpha","y",,,,,
,"CanvasRenderingContext2D.globalCompositeOperation","y",,"validate for copy, darker, destination-atop, destination-in, destination-out, destination-over, lighter, source-atop, source-in, source-out, source-over, xor",,,
,"CanvasRenderingContext2D.lineCap",,,"validate for ""butt"", ""round, ""square""",,,
,"CanvasRenderingContext2D.lineJoin",,,"validate for ""round"", ""bevel"", ""miter""",,,
,"CanvasRenderingContext2D.lineWidth","y",,,,,
,"CanvasRenderingContext2D.miterLimit","y",,,,,
,"CanvasRenderingContext2D.shadowBlur","y",,,,,
,"CanvasRenderingContext2D.shadowColor","y",,,,,
,"CanvasRenderingContext2D.shadowOffsetX","y",,,,,
,"CanvasRenderingContext2D.shadowOffsetY","y",,,,,
,"CanvasRenderingContext2D.strokeStyle",,,"validate as css string or one of the types of valid objects",,,
,"CanvasRenderingContext2D.arc()","y",,,,,
,"CanvasRenderingContext2DarcTo()","y",,,,,
,"CanvasRenderingContext2D.beginPath()","y",,,,,
,"CanvasRenderingContext2D.bezierCurveTo()","y",,,,,
,"CanvasRenderingContext2D.clearRect()","y",,,,,
,"CanvasRenderingContext2D.clip()","y",,,,,
,"CanvasRenderingContext2D.closePath()","y",,,,,
,"CanvasRenderingContext2D.createLinearGradient()","y",,,,,
,"CanvasRenderingContext2D.createPattern()",,,"repetition style validate to repeat, repeat-x, repeat-y, no-repeat",,,
,"CanvasRenderingContext2D.createRadialGradient()","y",,,,,
,"CanvasRenderingContext2D.drawImage()","y",,,,,
,"CanvasRenderingContext2D.fill()","y",,,,,
,"CanvasRenderingContext2D.fillRect()","y",,,,,
,"CanvasRenderingContext2D.lineTo()","y",,,,,
,"CanvasRenderingContext2D.moveTo()","y",,,,,
,"CanvasRenderingContext2D.quadraticCurveTo()","y",,,,,
,"CanvasRenderingContext2D.rect()","y",,,,,
,"CanvasRenderingContext2D.restore()","y",,,,,"restore and save are in a local stack for this one canvas. It has no outside effects or sharing issues"
,"CanvasRenderingContext2D.rotate()","y",,,,,
,"CanvasRenderingContext2D.save()","y",,,,,
,"CanvasRenderingContext2D.scale()","y",,,,,
,"CanvasRenderingContext2D.stroke()","y",,,,,
,"CanvasRenderingContext2D.strokeRect()","y",,,,,
,"CanvasRenderingContext2D.translate()","y",,,,,
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,,,,,,,
,"CDataSection",,,,,,"Has no functions or properties. Do not allow construction of Cdata Sections; they have different behavior embedding angle brackets and other HTML than does the CharacterData superclass. "
,"CharacterData.data",,,"sanitize data to pure text",,,
,"CharacterData.length","y",,,,,
,"CharacterData.appendData()",,,"sanitize to pure text",,,
,"CharacterData.deleteData()","y",,,,,
,"CharacterData.insertData()",,,"sanitize to pure text",,,
,"CharacterData.replaceData()",,,"sanitize to pure text",,,
,"CharacterData.substringData()","y",,,,,
,"CSS2Properties.cssText",,,"Will this properly throw an illegal css string? If not, must analyze syntax to ensure it is proper css",,,
,"CSS2Properties.*","y",,,,,"assumes this will follow the documentation description and throw and exception if ill-formed css strings are input"
,,,,,,,
,"CSSRule.selectorText","y",,,,,
,"CSSRule.style","y",,,,,
,"CSSStyleSheet.cssRules","y",,,,,"see security issues and algorithm for css style rules in the Appendix."
,"CSSStyleSheet.disabled","y",,,,,
,"CSSStyleSheet.href","y",,,,,
,"CSSStyleSheet.parentStyleSheet",,"y",,,,
,"CSSStyleSheet.rules","y",,,,,
,"CSSStyleSheet.title","y",,,,,
,"CSSStyleSheet.type","y",,,,,
,"CSSStyleSheet.addRule()",,,"the selector must be sanitized to pure text. The style must be valid css text",,,
,"CSSStyleSheet.deleteRule()","y",,,,,
,"CSSStyleSheet.insertRule()",,,"Will this properly throw an illegal css string?",,,
,"CSSStyleSheet.removeRule()","y",,,,,
,,,,,,,
,"Document.defaultView",,"y",,,,"It is tempting to just leave the Document object untamed, since the main document should be protected by never being handed to a caja object. It is also tempting to observe that there are a number of convenience functions, so perhaps we should tame away everything except the convenience functions, so those conveniences can be easily given out. But the important question is, might a caja object ever have access to a document that is not the primary document being protected, i.e., might a caja object ever have a private document? if the answer is Yes, then the correct taming is to enable the document to retain all the methods pertaining to the document, while taming away powers in excess of that. The authority to reach a window is just such an authority that is excess."
,"Document.doctype",,"y",,,,"for HTML, this is null. We are only doing HTML, don't need this, remove it."
,"Document.documentElement","y",,,,,
,"Document.implementation",,"y",,,,"gives the authority to create another document, which is excess"
,"Document.stylesheets","y",,,,,
,"Document.addEventListener()","y",,,,,
,"Document.attachEvent()","y",,,,,
,"Document.createAttribute()",,"y",,,,"use Element.set/getElement"
,"Document.createAttributeNS()",,"y",,,,
,"Document.createCDATASection()",,"y",,,,
,"Document.createComment()",,"y",,,,
,"Document.createDocumentFragment()","y",,,,,
,"Document.createElement()","y",,,,,
,"Document.createElementNS()",,"y",,,,"no XML"
,"Document.createEvent()",,"y",,,,"We need to understand this better. Is it reasonable for the person who owns a document to create synthetic events? Is it important? Could be used to pretend to be user. Recommendations: let us shut it off unless it proves important."
,"Document.createExpression()",,"y",,,,"no XML"
,"Document.createProcessingInstruction()",,"y",,,,"no XML"
,"Document.createRange()",,"y",,,,"The standard createRange is useless because the ability to set the range after being constructed had to be rendered harmless. Instead, see the new createRange(start, end) function listed next"
,"Document.createRange(start, end)",,,,"y",,"When the holder of a document object creates a range, one feeds in the start and end nodes as part of the initialization.You can then hand this range out. CreateRange(start, stop) has also been added to Node, for the majority of modules that do not have document access."
,"Document.createTextNode()","y",,,,,
,"Document.detachEvent()","y",,,,,
,"Document.dispatchEvent()",,"y",,,,"This is a tremendous power for pretending to be the user, generating synthetic events. For a document holder, this is ok, but shut off the Element version of this, and give the powerbox holder a mechanism for manufacturing safer event dispatchers that can be conveyed to modules"
,"Document.evaluate()",,"y",,,,"no XML"
,"Document.getElementById()",,"y",,,,"Use document.documentElement.getElementById. There is no identified attack if document.getElementById is used directly, but the analysis is complicated enough, do not turn on unless needed."
,"Document.getElementsByTagName()","y",,,,,
,"Document.getElementsByTagNameNS()",,"y",,,,"no XML"
,"Document.importNode()","y",,,,,
,"Document.loadXML()",,"y",,,,
,"Document.removeEventListener()","y",,,,,
,,,,,,,
,,,,,,,
,"Object/Property/Function","DirectUse?","ShutOff?","Wrapper Behavior?","New?","Only Powerbox?","Discussion"
,,,,,,,
,"DocumentFragment",,,,,,"no functions or properties"
,"DocumentType.internalSubset",,"y",,,,"no XML"
,"DocumentType.name",,"y",,,,
,"DocumentType.publicId",,"y",,,,
,"DocumentType.systemId",,"y",,,,
,,,,,,,
,"DOMException.code",,,"can read but cannot write, i.e., cannot modify the code of an existing exception",,,
,"DOMImplementation.createDocument()",,,"set namespaceURI=null, qualifiedName must be sanitized to pure text, doctype=null",,,
,"DOMImplementation.createDocumentType()",,"y",,,,"no XML"
,"DOMImplementation.hasFeature()",,,"validate feature name to Core, HTML, StyleSheets, CSS, CSS2, Events, UIEvents, MouseEvents, HTMLEvents, MutationEvents, Range, Traversal, Views. Validate version to 1.0, 2.0, null, """".",,,
